sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
neiro2,17,14,0.8,0.0010096593967894,0.0012472618178489,45.07479996119995,35.323577072323815,0.3529411764705882,-0.0748277459778302,17
newbornhaggispygmyhippo,17,14,0.8,0.0001122054352278,0.0001270653316734,42.93151527831734,58.403736678535125,0.7058823529411765,0.0139622734000258,17
nomnom,17,14,0.8,0.0015239513421302,0.0017018131971549,54.5594777205347,39.34547039630005,0.2352941176470588,-0.0776736157096634,17
npconsolana,17,14,0.8,0.0030947955564445,0.0038199406457247,25.02825968844718,29.529795947812648,0.8235294117647058,0.1948958092287354,17
numogram,17,14,0.8,0.0052855094546473,0.0067445110554668,47.53039955052975,35.20655586890134,0.6470588235294118,0.1132181815304203,17
nya,17,14,0.8,3.98756068308268e-08,4.505476715253071e-08,22.98472367653066,20.08904066538913,0.2352941176470588,-0.0321099511488329,17
ogroaringkitty,17,14,0.8,0.0016524863831477,0.0017728162358841,49.43275240432462,37.765380145043885,0.2941176470588235,-0.0871249324991101,17
omega2,17,14,0.8,0.0008083805576692,0.0009576359400205,163.7647919137701,85.80449650828234,0.2941176470588235,-0.140216156490381,17
optimusai,17,14,0.8,0.0094560533279614,0.0098032954845562,22.53105639497893,20.01145511163541,0.1176470588235294,-0.082072167824945,17
oscar,17,14,0.8,0.001176460721447,0.0014113407908268,37.93311025673709,34.204701029260846,0.2941176470588235,0.0244224441799665,17
pajamascat,17,14,0.8,0.0003944994321803,0.0004920180555225,24.293800071141323,20.606184496642776,0.5294117647058824,0.0175037692703751,17
patriot,17,14,0.8,0.0025923379704107,0.002819828931398,199.77738605662964,97.29170748569648,0.2352941176470588,-0.2002078033810003,17
peng,17,14,0.8,0.0147075212457147,0.0165354200856944,37.03427967908968,35.509674183699346,0.5882352941176471,-0.0333861802419689,17
pestothebabykingpenguin,17,14,0.8,0.0001450940844456,0.0001861106471499,9.81614259831669,10.195853263184448,0.8823529411764706,0.1039773651051907,17
phil,17,14,0.8,0.0009093833561504,0.001096608801873,10.542566608571695,9.773104278128326,0.6470588235294118,0.0389605757560481,17
pikaboss,17,14,0.8,1.972803930101313e-08,2.1534985345976546e-08,27.06005553439948,23.153700932079623,0.2352941176470588,-0.024626517273576,17
pochita,17,14,0.8,0.000274555693434,0.0003110904900494,43.56851799776928,33.86334318770998,0.1764705882352941,-0.1335907409961233,17
polydoge,17,14,0.8,1.8295739348370907e-09,1.8295739348370907e-09,18.29573934837091,16.762342135476445,0.0,0.0,17
