sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
brainlet2,11,7,0.7,0.010452759020855726,0.010600329402048535,309.59640684550857,0.32,-0.0802833607686319
brothecat,11,7,0.7,0.0008634055286640568,0.0008871455586822465,192.60399610456074,0.4,0.06714152212662176
buu,11,7,0.7,0.0023247245425671585,0.0023440418392129472,214.99295882691368,0.36,-0.07737188549347022
catalorian,11,7,0.7,0.003356033592037413,0.0036665727498333585,147.72816156611336,0.44,-0.10896841956889575
catana,11,7,0.7,0.019407071261099404,0.019640484079914797,492.9430990562043,0.28,0.010590076194816547
catecoin,11,7,0.7,8.899999627531937e-08,9.064413556898979e-08,57.756487848234016,0.16,-0.037698830409356725
catwifhat2,11,7,0.7,1.449999881875628e-07,1.4680066936069692e-07,78.38856411080667,0.44,-0.029830425478561164
chonky,11,7,0.7,5.829888500970139e-06,6.076775530349993e-06,71.27432005332707,0.44,-0.021716789348878454
chudjak,11,7,0.7,0.004439426530036645,0.0048828792736710135,65.18101841599989,0.36,-0.06610503774659861
coal2,11,7,0.7,0.028179814947648336,0.02916504250638998,69.69451421101122,0.24,-0.046948033230137826
costcohotdog,11,7,0.7,0.0015932236866598429,0.0016444064275851012,107.2430271867526,0.44,0.004743203484374602
crashout,11,7,0.7,0.0012028940720796321,0.0015964444792699942,26.313792530414958,0.72,0.1332019164811704
csi888,11,7,0.7,0.0006197166334109159,0.0007378439701319151,83.57787668786662,0.32,-0.07631339317813499
cumrocket,11,7,0.7,0.0011991012345913118,0.0013328444464866514,29.416731284387794,0.24,-0.03155916955840679
dancingtriangle2,11,7,0.7,0.00020609951030889942,0.00025266810100818684,43.76089253785914,0.52,0.02025979063805164
darkmaga,11,7,0.7,0.0010939111450186463,0.0013767840770100054,27.581874093494303,0.48,-0.011830009520856565
deepworm,11,7,0.7,0.01560843513469738,0.017027764567505176,357.6856355025504,0.28,-0.16075871368140915
degenspartanai,11,7,0.7,0.02050479582155283,0.02398475037050973,139.5608877801585,0.4,-0.06841491983669973
dejitarutsuka,11,7,0.7,0.0034212171784769275,0.0035951769449496414,69.3803376470735,0.16,-0.0387203116016263
dinolfg,11,7,0.7,0.0024020097515158666,0.00248911296922316,82.831215566736,0.28,-0.06126245967102564
dogebonk,11,7,0.7,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-14,0.0,0.0
dogemascotshibu,11,7,0.7,0.0002645954157542929,0.00031182230466443274,21.197870671115698,0.44,0.023342857994524627
dogeonsolana,11,7,0.7,0.0004121760159859674,0.00045960222675194603,101.05631499184034,0.28,-0.0863104019258638
doggo3,11,7,0.7,2.4473742472319137e-06,2.466735183773569e-06,178.16344919573302,0.16,-0.06215526385688583
donaldtremp,11,7,0.7,0.04116869198693027,0.04507677419255739,45.59463726838144,0.48,0.01984820006406498
